Codigo de Estación;Nombre de la estacion;tiempo de antelacion;Punto de Encuentro;Aparcamiento;Andén;Aseos;Vestíbulo
02002;Puente Genil-Herrera;30 m.;Atención al Cliente;Si;Si;Si;Si
02003;Antequera Sta. Ana;30 m.;Atención al Cliente;Si;Si;Si;Si
03100;Jaén;30 m.;Venta de Billetes;Si;Si;Si;Si
03208;Cuenca AV FZ;30 m.;Atención al Cliente;Si;Si;Si;Si
03213;Requena-Utiel;12 H.;Atención al Cliente;Si;Si;Si;Si
03216;Valencia AV JS;30 m.;Centro Servicios Cliente;Si;Si;Si;Si
03309;Villena AV;12 H.;Venta de Billetes;Si;Si;Si;Si
04007;Guadalajara Yebes;30 m.;Venta de Billetes;Si;Si;Si;Si
04040;Zaragoza Delicias;30 m.;Centro Servicios Cliente;Si;Si;Si;Si
04104;Camp de Tarragona;30 m.;Centro Servicios Cliente;Si;Si;Si;Si
04307;Figueres Vilafant;30 m.;Atención al Cliente;Si;Si;Si;Si
05000;Granada;30 m.;Atención al Cliente;Si;No;Si;Si
08004;Segovia AV;30 m.;Atención al Cliente;Si;Si;Si;Si
08223;Vigo-Urzaiz;30 m.;Centro Servicios Cliente;Si;Si;Si;Si
08224;Redondela AV;12 H.;Venta de Billetes;Si;Si;Si;Si
08240;Medina del Campo AV;12 H.;Venta de Billetes;Si;Si;Si;Si
10200;Villalba de Guadarrama;12 H.;Venta de Billetes;Si;Si;No;Si
10400;Avila;30 m.;Venta de Billetes;Si;Si;Si;Si
10500;Medina del Campo;12 H.;Venta de Billetes;Si;No;Si;Si
10600;Valladolid;30 m.;Atención al Cliente;Si;Si;Si;Si
11014;Burgos Rosa de Lima;30 m.;Venta de Billetes;Si;Si;Si;Si
11109;Briviesca;12 H.;Venta de Billetes;Si;No;Si;Si
11200;Miranda de Ebro;30 m.;Venta de Billetes;Si;Si;Si;Si
11208;Vitoria / Gasteiz;30 m.;Venta de Billetes;Si;Si;Si;Si
11511;San Sebastián / Donostia;30 m.;Venta de Billetes;Si;Si;Si;Si
11600;Irún;30 m.;Venta de Billetes;Si;Si;Si;Si
13200;Bilbao (Interm Abando I P);30 m.;Atención al Cliente;Si;Si;Si;Si
14100;Palencia;30 m.;Venta de Billetes;Si;Si;Si;Si
14200;Mataporquera;12 H.;Venta de Billetes;Si;No;Si;Si
14223;Santander;30 m.;Atención al Cliente;Si;Si;Si;Si
15009;Sahagún;12 H.;Venta de Billetes;Si;No;No;Si
15100;León;30 m.;Venta de Billetes;Si;Si;Si;Si
15203;Mieres Puente;12 H.;Venta de Billetes;Si;Si;Si;Si
15211;Oviedo;30 m.;Venta de Billetes;Si;Si;Si;Si
15410;Gijón;30 m.;Venta de Billetes;Si;Si;Si;Si
17000;Madrid Chamartín;30 m.;Centro Servicios Cliente;Si;Si;Si;Si
18000;Madrid Atocha Cercanías;30 m.;Atención al Cliente;Si;Si;Si;Si
20005;Veguellina;12 H.;Venta de Billetes;Si;No;Si;Si
20100;Astorga;12 H.;Venta de Billetes;Si;Si;Si;Si
20200;Ponferrada;12 H.;Venta de Billetes;Si;No;Si;Si
20211;O Barco de Valdeorras;12 H.;Venta de Billetes;No;Si;Si;Si
20300;Monforte de Lemos;30 m.;Venta de Billetes;Si;No;Si;Si
20305;Sarria;12 H.;Venta de Billetes;Si;No;Si;Si
20309;Lugo;30 m.;Venta de Billetes;Si;Si;Si;Si
21010;Ferrol;12 H.;Venta de Billetes;Si;Si;Si;Si
22100;Ourense;30 m.;Venta de Billetes;Si;Si;Si;Si
